"edon","disloc2016","disloc2013","esc1","esc3","dsi_pob","pobtot"
29,8,3,10,1,0.226489963840624,1538
29,8,2,7,1,0.711990486552134,3165
29,4,15,8,11,0.276267877412032,1335
29,4,16,8,11,0.276267877412032,2516
29,2,12,4,13,0.348100342740465,889
29,2,14,4,13,0.348100342740465,270
29,11,17,14,3,0.49556786120352,1327
29,1,13,9,6,0.81198467230444,5522
29,11,19,14,3,0.49556786120352,4229
29,9,4,7,15,0.711990486552134,2001
29,9,5,7,15,0.711990486552134,2471
29,10,18,15,2,0.609729914363091,4978
29,6,11,3,10,0.343177249038706,2481
29,14,10,10,9,0.226489963840624,3562
29,12,7,11,7,0.529267207828311,2550
29,12,9,11,7,0.529267207828311,1627
29,15,6,12,5,0.86709805159402,6141
29,7,1,13,4,0.69950069630787,1097
29,13,8,11,8,0.529267207828311,3126
