"edon","disloc2018","disloc2010","esc1","esc3cg","esc3jge","esc3trib","dsi_pob","pobtot"
20,1,3,16,1,1,1,0.420594203453425,1172
20,2,25,13,2,2,2,0.516635911727047,977
20,3,22,3,3,3,3,0.307738126306805,1644
20,16,1,3,16,16,16,0.307738126306805,2249
20,4,20,17,4,4,4,0.528258122072708,1156
20,5,15,14,5,5,5,0.734092883473034,1012
20,6,5,5,6,18,6,0.431416552147291,885
20,7,16,4,7,7,7,0.171534218060539,3918
20,3,19,2,3,3,3,0.378344023956646,1070
20,8,4,20,8,10,8,0.213954360864517,540
20,9,18,22,9,9,9,0.152654072748802,2003
20,11,24,20,11,10,11,0.213954360864517,2816
20,5,21,14,5,5,5,0.734092883473034,710
20,10,8,11,10,11,10,0.693613438141395,2459
20,11,23,18,11,6,11,0.428953875814665,1481
20,12,13,7,12,12,12,0.59299183317191,1713
20,13,10,19,13,13,13,0.462293775655173,1404
20,7,14,1,7,7,7,0.288691276973578,334
20,15,17,4,15,15,15,0.171534218060539,1518
20,14,12,8,14,14,14,0.395998469654433,2747
20,18,2,16,18,21,18,0.420594203453425,2822
20,21,11,10,21,19,21,0.821553126547223,1451
20,10,7,19,10,11,10,0.462293775655173,2299
20,6,6,5,6,18,6,0.431416552147291,5561
20,13,9,21,13,13,13,0.955309965742157,773
