"edon","disloc2016","disloc2013","esc1","esc3","dsi_pob","pobtot"
32,14,14,1,7,0.560451166367598,409
32,14,15,1,7,0.560451166367598,714
32,2,3,15,14,0.591385376057811,5243
32,16,12,16,17,1,1158
32,12,18,18,15,0.316925787820268,904
32,11,6,2,6,0.128687934756536,1140
32,17,16,14,18,0.651570054022347,697
32,7,11,8,12,0.289369065203629,3622
32,5,8,8,10,0.289369065203629,871
32,18,17,18,16,0.316925787820268,1289
32,13,10,4,2,0.419911520943777,584
32,3,4,13,8,0.534219860317151,2266
32,3,5,13,8,0.534219860317151,3198
32,10,7,15,5,0.591385376057811,3573
32,9,9,3,3,0.766457140196489,2608
32,15,13,5,1,1,1482
32,2,1,10,14,0.198023092260847,876
32,2,2,10,14,0.198023092260847,1497
