"edon","disloc2016","disloc2010","esc1","esc3","dsi_pob","pobtot"
10,3,16,3,3,0.294968217477686,513
10,1,8,2,1,0.650087135147877,760
10,6,15,1,6,0.338702495201536,2572
10,11,2,12,11,0.448380659214525,9095
10,11,1,12,11,0.448380659214525,905
10,11,6,11,11,0.200908899323999,2495
10,8,3,9,8,0.41361524695561,1165
10,9,5,11,9,0.200908899323999,835
10,9,4,9,9,0.41361524695561,633
10,6,14,1,6,0.338702495201536,1271
10,15,11,13,15,0.724147357103155,1328
10,15,12,13,15,0.724147357103155,2814
10,13,13,15,13,0.509690970719746,1602
10,13,10,15,13,0.509690970719746,14035
10,6,17,1,6,0.338702495201536,2281
10,7,9,6,7,0.356803031560313,8932
10,1,7,2,1,0.650087135147877,1079
