"edon","disloc2018","disloc2012","esc1","esc3","dsi_pob","pobtot"
11,18,13,4,1,0.455167660106824,1916
11,22,22,8,2,0.646790286476906,4518
11,9,9,6,3,0.482179835533797,6511
11,22,17,8,2,0.646790286476906,1599
11,2,2,10,4,1,1049
11,16,16,21,22,0.523442505193267,21909
11,16,15,21,22,0.523442505193267,1619
11,10,18,7,5,0.49128602039109,1590
11,19,21,5,7,0.620617392001729,1725
11,1,1,3,8,0.868231083147077,2342
11,8,8,9,9,0.471927408940468,1199
11,18,19,4,1,0.455167660106824,1407
11,11,11,13,13,0.443856213890299,5611
11,11,12,13,13,0.443856213890299,7981
11,3,4,17,16,0.389417283525564,5543
11,3,3,17,16,0.389417283525564,6337
11,7,7,19,18,0.185858450247253,1521
11,7,5,19,18,0.185858450247253,759
11,7,6,19,18,0.185858450247253,793
11,20,20,11,10,0.657550619169867,2667
11,10,10,7,5,0.49128602039109,4937
11,14,14,12,12,0.346878420848194,2742
