"edon","disloc2018","disloc2012","esc1","esc3","dsi_pob","pobtot"
14,2,3,3,2,0.111926942181978,1998
14,4,17,8,4,0.609802915535873,2431
14,3,1,8,3,0.993118838450891,2618
14,5,19,4,5,0.611714264392951,1127
14,4,18,8,4,0.609802915535873,3485
14,4,5,6,4,0.609802915535873,983
14,8,15,7,8,1,1248
14,3,0,2,3,0.993118838450891,945
14,9,2,5,9,1,5485
14,13,12,14,13,0.397517129430334,693
14,12,9,12,12,0.674842293321247,1303
14,12,11,12,12,0.674842293321247,1523
14,11,13,13,11,0.451009938101707,1863
14,10,14,11,10,0.663250190174961,1657
14,13,8,14,13,0.397517129430334,3015
14,2,7,1,2,0.111926942181978,21175
14,14,16,20,14,0.745429961307997,1791
14,16,20,19,16,0.777166741421115,6516
14,19,10,16,19,0.46548024831325,1554
14,17,4,17,17,0.865868291898193,1749
14,19,6,17,19,0.46548024831325,4328
