"","edon.x","disloc2007.x","escenario1","dsi_SQ_E1_sec","edon.y","disloc2016","disloc2007.y","escenario3","dsi_SQ_E1_pob","pob_total"
"1",30,10,20,0.028,30,1,10,1,0.0348736387841861,2034
"2",30,25,20,0.028,30,1,10,1,0.0348736387841861,2034
"3",30,20,13,0.03,30,3,20,3,0.0326767626820247,2056
"4",30,NA,13,0.03,30,3,20,3,0.0326767626820247,2056
"5",30,8,13,0.03,30,3,20,3,0.0326767626820247,2056
"6",30,12,13,0.03,30,3,20,3,0.0326767626820247,2056
"7",30,28,13,0.03,30,3,20,3,0.0326767626820247,2056
"8",30,20,13,0.03,30,3,NA,3,0.0326767626820247,3599
"9",30,NA,13,0.03,30,3,NA,3,0.0326767626820247,3599
"10",30,8,13,0.03,30,3,NA,3,0.0326767626820247,3599
"11",30,12,13,0.03,30,3,NA,3,0.0326767626820247,3599
"12",30,28,13,0.03,30,3,NA,3,0.0326767626820247,3599
"13",30,20,13,0.03,30,3,8,3,0.0326767626820247,1839
"14",30,NA,13,0.03,30,3,8,3,0.0326767626820247,1839
"15",30,8,13,0.03,30,3,8,3,0.0326767626820247,1839
"16",30,12,13,0.03,30,3,8,3,0.0326767626820247,1839
"17",30,28,13,0.03,30,3,8,3,0.0326767626820247,1839
"18",30,20,13,0.03,30,3,12,3,0.0326767626820247,1137
"19",30,NA,13,0.03,30,3,12,3,0.0326767626820247,1137
"20",30,8,13,0.03,30,3,12,3,0.0326767626820247,1137
"21",30,12,13,0.03,30,3,12,3,0.0326767626820247,1137
"22",30,28,13,0.03,30,3,12,3,0.0326767626820247,1137
"23",30,20,13,0.03,30,3,28,3,0.0326767626820247,2779
"24",30,NA,13,0.03,30,3,28,3,0.0326767626820247,2779
"25",30,8,13,0.03,30,3,28,3,0.0326767626820247,2779
"26",30,12,13,0.03,30,3,28,3,0.0326767626820247,2779
"27",30,28,13,0.03,30,3,28,3,0.0326767626820247,2779
"28",30,13,15,0.028,30,6,13,6,0.0374651093929494,1272
"29",30,1,23,0.047,30,2,1,2,0.0351277362635936,1091
"30",30,2,24,0.032,30,10,2,10,0.0397222540806273,1016
"31",30,23,24,0.032,30,10,2,10,0.0397222540806273,1016
"32",30,14,22,0.036,30,5,14,5,0.0320400534278958,1389
"33",30,27,8,0.034,30,4,27,4,0.030587364652215,3234
"34",30,2,24,0.032,30,10,23,10,0.0397222540806273,3100
"35",30,23,24,0.032,30,10,23,10,0.0397222540806273,3100
"36",30,10,20,0.028,30,1,25,1,0.0348736387841861,3192
"37",30,25,20,0.028,30,1,25,1,0.0348736387841861,3192
"38",30,24,7,0.044,30,11,24,11,0.0381985731998907,637
"39",30,19,30,0.034,30,29,19,29,0.0361553046426285,1360
"40",30,29,4,0.033,30,15,29,15,0.0286542241774214,1626
"41",30,6,11,0.029,30,17,6,17,0.0330643011064656,1574
"42",30,7,21,0.045,30,13,7,13,0.0312803368282861,1064
"43",30,3,18,0.029,30,23,3,23,0.0248466585763836,2148
"44",30,5,28,0.036,30,27,5,27,0.0379171960798269,1403
