"","edon.x","escenario1.x","escenario3","dsi_E1_E3_sec","edon.y","disloc2018","disloc2015","escenario1.y","dsi_E1_E3_pob","pob_total"
"1",6,15,11,0.931,6,6,1,15,0.949798567591764,5884
"2",6,15,11,0.931,6,6,1,15,0.949798567591764,5884
"3",6,16,12,0.8,6,2,2,16,0.748400553538838,1916
"4",6,16,12,0.8,6,2,2,16,0.748400553538838,1916
"5",6,15,11,0.931,6,6,1,14,0.949798567591764,950
"6",6,15,11,0.931,6,6,1,14,0.949798567591764,950
"7",6,16,9,0.429,6,1,2,13,0.441323971915747,1493
"8",6,1,14,0.371,6,4,4,1,0.359600061952537,2841
"9",NA,NA,13,NA,6,5,5,2,0.340433102887353,1740
"10",6,4,15,0.267,6,7,7,4,0.240930698023518,7725
"11",6,4,15,0.267,6,7,4,3,0.240930698023518,5100
"12",6,5,16,1,6,8,7,5,1,1436
"13",6,12,7,1,6,16,3,12,1,1559
"14",6,8,4,0.529,6,13,13,8,0.547916021072203,463
"15",6,8,4,0.529,6,13,13,7,0.547916021072203,1344
"16",6,7,2,0.295,6,14,11,6,0.281704581864787,2523
"17",6,7,2,0.295,6,14,11,6,0.281704581864787,2523
"18",6,8,3,0.714,6,12,14,9,0.928110554699538,6988
"19",6,10,6,1,6,10,10,10,1,4006
"20",6,10,6,1,6,10,10,10,1,4006
"21",NA,NA,8,NA,6,15,9,11,1,1725
