"","edon.x","disloc2010.x","escenario1","dsi_SQ_E1_sec","edon.y","disloc2018","disloc2010.y","escenario3cg","escenario3jge","escenario3trib","dsi_SQ_E1_pob","pob_total"
"1",20,3,16,0.661,20,1,3,1,1,1,0.420594203453425,1172
"2",20,2,16,0.661,20,1,3,1,1,1,0.420594203453425,1172
"3",20,25,13,0.56,20,2,25,2,2,2,0.516635911727047,977
"4",20,22,3,0.201,20,3,22,3,3,3,0.307738126306805,1644
"5",20,1,3,0.201,20,3,22,3,3,3,0.307738126306805,1644
"6",20,22,3,0.201,20,16,1,16,16,16,0.307738126306805,2249
"7",20,1,3,0.201,20,16,1,16,16,16,0.307738126306805,2249
"8",20,20,17,0.5,20,4,20,4,4,4,0.528258122072708,1156
"9",20,15,14,0.616,20,5,15,5,5,5,0.734092883473034,1012
"10",20,21,14,0.616,20,5,15,5,5,5,0.734092883473034,1012
"11",20,5,5,0.369,20,6,5,6,18,6,0.431416552147291,885
"12",20,6,5,0.369,20,6,5,6,18,6,0.431416552147291,885
"13",20,16,4,0.214,20,7,16,7,7,7,0.171534218060539,3918
"14",20,17,4,0.214,20,7,16,7,7,7,0.171534218060539,3918
"15",20,19,2,0.301,20,3,19,3,3,3,0.378344023956646,1070
"16",20,4,20,0.239,20,8,4,8,10,8,0.213954360864517,540
"17",20,24,20,0.239,20,8,4,8,10,8,0.213954360864517,540
"18",20,18,22,0.14,20,9,18,9,9,9,0.152654072748802,2003
"19",20,4,20,0.239,20,11,24,11,10,11,0.213954360864517,2816
"20",20,24,20,0.239,20,11,24,11,10,11,0.213954360864517,2816
"21",20,15,14,0.616,20,5,21,5,5,5,0.734092883473034,710
"22",20,21,14,0.616,20,5,21,5,5,5,0.734092883473034,710
"23",20,8,11,0.725,20,10,8,10,11,10,0.693613438141395,2459
"24",20,23,18,0.435,20,11,23,11,6,11,0.428953875814665,1481
"25",20,13,7,0.585,20,12,13,12,12,12,0.59299183317191,1713
"26",20,10,19,0.395,20,13,10,13,13,13,0.462293775655173,1404
"27",20,7,19,0.395,20,13,10,13,13,13,0.462293775655173,1404
"28",20,14,1,0.388,20,7,14,7,7,7,0.288691276973578,334
"29",20,16,4,0.214,20,15,17,15,15,15,0.171534218060539,1518
"30",20,17,4,0.214,20,15,17,15,15,15,0.171534218060539,1518
"31",20,12,8,0.331,20,14,12,14,14,14,0.395998469654433,2747
"32",20,3,16,0.661,20,18,2,18,21,18,0.420594203453425,2822
"33",20,2,16,0.661,20,18,2,18,21,18,0.420594203453425,2822
"34",20,11,10,0.784,20,21,11,21,19,21,0.821553126547223,1451
"35",20,10,19,0.395,20,10,7,10,11,10,0.462293775655173,2299
"36",20,7,19,0.395,20,10,7,10,11,10,0.462293775655173,2299
"37",20,5,5,0.369,20,6,6,6,18,6,0.431416552147291,5561
"38",20,6,5,0.369,20,6,6,6,18,6,0.431416552147291,5561
"39",20,9,21,0.939,20,13,9,13,13,13,0.955309965742157,773
