"","SECCION","munn.x","edon.x","edo.x","disloc2018.x","disloc2015.x","escenario1","escenario2","escenario3","pobtot","dsiSQ_E3","dsi_pob","dif","rural","urbano","mixto"
"1",186,6,6,"col",9,9,2,2,1,1430,0.636,0.620295873345445,0.015704126654555,0,0,1
"2",187,6,6,"col",9,9,2,2,1,1481,0.636,0.620295873345445,0.015704126654555,0,0,0
"3",188,6,6,"col",9,9,2,2,1,2128,0.636,0.620295873345445,0.015704126654555,1,0,0
"4",189,6,6,"col",9,9,2,2,1,547,0.636,0.620295873345445,0.015704126654555,1,0,0
"5",190,6,6,"col",9,9,2,2,1,462,0.636,0.620295873345445,0.015704126654555,1,0,0
"6",191,7,6,"col",16,3,12,12,7,1559,0.3,0.260863023088626,0.039136976911374,1,0,0
"7",192,7,6,"col",16,3,12,12,7,1201,0.3,0.260863023088626,0.039136976911374,1,0,0
"8",193,7,6,"col",16,3,12,12,7,183,0.3,0.260863023088626,0.039136976911374,1,0,0
"9",194,7,6,"col",16,3,12,12,7,366,0.3,0.260863023088626,0.039136976911374,1,0,0
"10",195,7,6,"col",16,3,12,12,7,639,0.3,0.260863023088626,0.039136976911374,1,0,0
"11",196,7,6,"col",16,3,12,12,7,421,0.3,0.260863023088626,0.039136976911374,1,0,0
"12",456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"13",457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"14",458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"15",459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"16",460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"17",461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"18",462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"19",463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"20",464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"21",465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"22",466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"23",467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"24",468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"25",469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"26",470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"27",471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"28",472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"29",473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"30",474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"31",475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"32",476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"33",477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"34",478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"35",479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"36",480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"37",481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"38",482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"39",483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"40",484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"41",485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"42",486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"43",487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"44",488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"45",692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"46",693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"47",694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"48",695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"49",696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"50",944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"51",945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"52",946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"53",947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"54",948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"55",949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"56",950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"57",951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"58",952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"59",953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"60",954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"61",955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"62",956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"63",957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"64",958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"65",959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"66",960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"67",961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"68",962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"69",963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"70",964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"71",965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"72",966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"73",967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"74",968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"75",969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"76",970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"77",971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"78",972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"79",973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"80",974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"81",975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"82",976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"83",1082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"84",1083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"85",1084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
