"","edon.x","disloc2013.x","escenario1","dsi_SQ_E1_sec","edon.y","disloc2013.y","disloc2016","escenario3","dsi_SQ_E1_pob","pob_total"
"1",32,14,1,0.507,32,14,14,7,0.560451166367598,409
"2",32,15,1,0.507,32,14,14,7,0.560451166367598,409
"3",32,14,1,0.507,32,14,15,7,0.560451166367598,714
"4",32,15,1,0.507,32,14,15,7,0.560451166367598,714
"5",32,3,15,0.429,32,2,3,14,0.591385376057811,5243
"6",32,7,15,0.429,32,2,3,14,0.591385376057811,5243
"7",32,12,16,1,32,16,12,17,1,1158
"8",32,18,18,0.457,32,12,18,15,0.316925787820268,904
"9",32,17,18,0.457,32,12,18,15,0.316925787820268,904
"10",32,6,2,0.218,32,11,6,6,0.128687934756536,1140
"11",32,16,14,0.659,32,17,16,18,0.651570054022347,697
"12",32,11,8,0.257,32,7,11,12,0.289369065203629,3622
"13",32,8,8,0.257,32,7,11,12,0.289369065203629,3622
"14",32,11,8,0.257,32,5,8,10,0.289369065203629,871
"15",32,8,8,0.257,32,5,8,10,0.289369065203629,871
"16",32,18,18,0.457,32,18,17,16,0.316925787820268,1289
"17",32,17,18,0.457,32,18,17,16,0.316925787820268,1289
"18",32,10,4,0.426,32,13,10,2,0.419911520943777,584
"19",32,4,13,0.615,32,3,4,8,0.534219860317151,2266
"20",32,5,13,0.615,32,3,4,8,0.534219860317151,2266
"21",32,4,13,0.615,32,3,5,8,0.534219860317151,3198
"22",32,5,13,0.615,32,3,5,8,0.534219860317151,3198
"23",32,3,15,0.429,32,10,7,5,0.591385376057811,3573
"24",32,7,15,0.429,32,10,7,5,0.591385376057811,3573
"25",32,9,3,0.708,32,9,9,3,0.766457140196489,2608
"26",32,13,5,1,32,15,13,1,1,1482
"27",32,1,10,0.293,32,2,1,14,0.198023092260847,876
"28",32,2,10,0.293,32,2,1,14,0.198023092260847,876
"29",32,1,10,0.293,32,2,2,14,0.198023092260847,1497
"30",32,2,10,0.293,32,2,2,14,0.198023092260847,1497
