"","edon.x","escenario1.x","escenario3","dsi_E1_E3_sec","edon.y","disloc2018","disloc1996","escenario1.y","dsi_E1_E3_pob","pob_total","dif"
"1",15,10,4,1,15,14,13,10,1,1958,0
"2",15,10,4,1,15,14,13,10,1,1958,0
"3",15,17,16,0.929,15,39,39,17,0.906253847732403,2688,0.022746152267597
"4",15,9,1,0.455,15,9,8,9,0.365951337917356,1222,0.089048662082644
"5",15,1,1,0.455,15,9,8,9,0.365951337917356,1222,0.089048662082644
"6",15,9,1,0.455,15,9,8,9,0.365951337917356,1222,0.089048662082644
"7",15,5,5,0.364,15,45,45,5,0.314573930406206,2225,0.049426069593794
"8",15,8,10,0.39,15,10,45,8,0.418319907743925,665,0.028319907743925
"9",15,8,10,0.39,15,10,45,8,0.418319907743925,665,0.028319907743925
"10",15,6,9,0.325,15,7,5,6,0.315107427158204,2665,0.00989257284179601
"11",15,6,9,0.325,15,7,5,6,0.315107427158204,2665,0.00989257284179601
"12",15,9,1,0.455,15,9,9,1,0.365951337917356,2162,0.089048662082644
"13",15,1,1,0.455,15,9,9,1,0.365951337917356,2162,0.089048662082644
"14",15,9,1,0.455,15,9,9,1,0.365951337917356,2162,0.089048662082644
"15",15,12,11,0.878,15,28,28,12,0.838480167941918,1664,0.039519832058082
"16",15,36,33,1,15,20,20,36,1,2255,0
"17",15,15,15,0.737,15,23,23,15,0.77000992126523,3793,0.0330099212652301
"18",15,42,38,1,15,29,16,42,1,1678,0
"19",15,42,38,1,15,29,16,42,1,1678,0
"20",NA,NA,40,NA,15,16,16,43,1,3665,NA
"21",15,8,3,0.498,15,13,13,7,0.463161041012831,6479,0.034838958987169
"22",15,6,2,0.27,15,4,6,4,0.236087459361995,3643,0.033912540638005
"23",15,2,2,0.27,15,4,6,4,0.236087459361995,3643,0.033912540638005
"24",15,35,32,0.741,15,38,38,35,0.712215787572902,4059,0.0287842124270979
"25",15,37,31,0.444,15,12,36,37,0.421118318313262,6236,0.022881681686738
"26",15,38,37,1,15,43,43,38,1,2229,0
"27",NA,NA,36,NA,15,26,43,39,1,1572,NA
"28",NA,NA,14,NA,15,27,27,14,1,2791,NA
"29",15,12,13,0.866,15,1,27,13,0.930310115346504,11196,0.064310115346504
"30",15,15,18,0.234,15,5,40,16,0.194652106957861,1952,0.039347893042139
"31",15,19,17,0.609,15,3,31,19,0.558362503320951,4673,0.0506374966790489
"32",15,19,17,0.609,15,3,31,18,0.558362503320951,4288,0.0506374966790489
"33",15,20,21,1,15,41,31,20,1,2062,0
"34",15,20,21,1,15,41,31,20,1,2062,0
"35",15,25,28,1,15,21,21,25,1,2378,0
"36",15,26,27,1,15,37,21,26,1,3515,0
"37",15,28,24,1,15,22,21,28,1,3195,0
"38",15,27,23,1,15,42,22,27,1,2077,0
"39",NA,NA,26,NA,15,8,22,24,1,14208,NA
"40",15,23,25,1,15,6,33,23,1,3882,0
"41",15,4,7,0.547,15,17,44,3,0.577399296077979,2967,0.030399296077979
"42",15,3,7,0.547,15,17,44,3,0.577399296077979,2967,0.030399296077979
"43",NA,NA,12,NA,15,40,40,11,0.897865581900394,12699,NA
"44",15,37,31,0.444,15,12,20,34,0.421118318313262,2986,0.022881681686738
"45",15,6,2,0.27,15,4,4,2,0.236087459361995,3157,0.033912540638005
"46",15,2,2,0.27,15,4,4,2,0.236087459361995,3157,0.033912540638005
"47",15,6,6,0.577,15,35,35,31,0.48798968748035,3156,0.08901031251965
"48",15,44,41,1,15,32,30,44,1,1832,0
"49",NA,NA,39,NA,15,30,29,41,1,743,NA
"50",15,21,20,1,15,25,25,21,1,4958,0
"51",15,22,22,1,15,24,24,22,1,1647,0
"52",15,22,22,1,15,24,24,22,1,1647,0
"53",NA,NA,42,NA,15,44,44,45,1,5767,NA
"54",15,32,43,0.481,15,34,3,33,0.313070555620632,3830,0.167929444379368
"55",15,32,43,0.481,15,34,3,33,0.313070555620632,3830,0.167929444379368
"56",NA,NA,29,NA,15,33,33,29,1,1677,NA
"57",15,40,35,1,15,18,18,40,1,1688,0
"58",15,32,43,0.481,15,34,2,32,0.313070555620632,2997,0.167929444379368
"59",15,32,43,0.481,15,34,2,32,0.313070555620632,2997,0.167929444379368
"60",NA,NA,30,NA,15,11,38,30,1,1781,NA
