"","edon.x","escenario1.x","escenario3","dsi_E1_E3_sec","edon.y","disloc2018","disloc2012","escenario1.y","dsi_E1_E3_pob","pob_total","dif"
"1",9,15,15,1,9,5,5,15,1,905,0
"2",9,16,16,1,9,3,5,16,1,4431,0
"3",9,23,23,0.965,9,26,26,23,0.949144333851214,1668,0.015855666148786
"4",9,23,23,0.965,9,26,26,23,0.949144333851214,1668,0.015855666148786
"5",9,21,21,1,9,26,32,21,1,1497,0
"6",NA,NA,22,NA,9,30,26,22,1,1050,NA
"7",9,31,31,1,9,20,20,31,1,4007,0
"8",9,12,12,1,9,1,1,12,1,3366,0
"9",9,12,12,1,9,1,1,12,1,3366,0
"10",9,10,10,0.956,9,2,2,10,0.947804688088015,838,0.00819531191198497
"11",NA,NA,11,NA,9,2,7,11,1,1235,NA
"12",9,9,9,0.947,9,4,4,9,0.947448882094401,1003,0.000448882094401082
"13",9,9,9,0.947,9,4,4,9,0.947448882094401,1003,0.000448882094401082
"14",9,19,18,0.681,9,15,15,19,0.688626015115242,1025,0.00762601511524197
"15",9,19,18,0.681,9,15,15,19,0.688626015115242,1025,0.00762601511524197
"16",9,19,18,0.681,9,15,15,18,0.688626015115242,2308,0.00762601511524197
"17",9,19,18,0.681,9,15,15,18,0.688626015115242,2308,0.00762601511524197
"18",9,6,6,0.906,9,24,24,6,0.894128806552183,1322,0.0118711934478171
"19",9,6,6,0.906,9,24,24,6,0.894128806552183,1322,0.0118711934478171
"20",9,5,6,0.906,9,24,24,6,0.894128806552183,1322,0.0118711934478171
"21",9,7,7,0.945,9,21,21,7,0.954471047196512,1154,0.00947104719651204
"22",9,7,7,0.945,9,21,21,7,0.954471047196512,1154,0.00947104719651204
"23",9,7,7,0.945,9,21,21,7,0.954471047196512,1154,0.00947104719651204
"24",9,8,8,1,9,22,19,8,1,982,0
"25",NA,NA,2,NA,9,29,21,2,1,3220,NA
"26",9,6,6,0.906,9,24,28,5,0.894128806552183,1591,0.0118711934478171
"27",9,6,6,0.906,9,24,28,5,0.894128806552183,1591,0.0118711934478171
"28",9,5,6,0.906,9,24,28,5,0.894128806552183,1591,0.0118711934478171
"29",9,3,3,1,9,27,29,3,1,2598,0
"30",NA,NA,4,NA,9,31,31,4,1,1644,NA
"31",9,1,1,1,9,33,33,1,1,1166,0
"32",9,28,25,0.336,9,7,34,28,0.332972958363177,2025,0.00302704163682305
"33",9,33,33,1,9,18,18,33,1,1770,0
"34",9,33,33,1,9,18,18,33,1,1770,0
"35",9,32,32,1,9,23,23,32,1,1141,0
"36",9,26,26,0.675,9,8,35,26,0.703993825447012,3458,0.0289938254470119
"37",9,26,26,0.675,9,8,34,25,0.703993825447012,2135,0.0289938254470119
"38",9,30,28,0.943,9,16,38,30,0.905653901734104,1105,0.037346098265896
"39",9,29,27,0.963,9,14,37,29,0.979237745422875,1330,0.016237745422875
"40",9,29,27,0.963,9,14,37,29,0.979237745422875,1330,0.016237745422875
"41",9,27,29,0.39,9,19,39,27,0.389348067359614,1570,0.000651932640385988
"42",9,24,24,0.966,9,17,16,24,0.949460763363481,1860,0.016539236636519
"43",9,24,24,0.966,9,17,16,24,0.949460763363481,1860,0.016539236636519
"44",9,14,14,1,9,12,13,14,1,1429,0
"45",9,13,13,1,9,9,9,13,1,2871,0
"46",9,13,13,1,9,9,9,13,1,2871,0
"47",9,17,17,1,9,13,13,17,1,1411,0
"48",9,20,20,0.785,9,10,10,20,0.772699666451229,1442,0.012300333548771
"49",9,20,20,0.785,9,10,10,20,0.772699666451229,1442,0.012300333548771
