"","edon.x","disloc2011.x","escenario3","dsi_SQ_E3_sec","edon.y","disloc2018","disloc2011.y","escenario1","dsi_SQ_E3_pob","pob_total","dif"
"1",3,9,4,0.396,3,4,9,4,0.407832562281982,864,0.011832562281982
"2",3,10,4,0.396,3,4,9,4,0.407832562281982,864,0.011832562281982
"3",3,11,4,0.396,3,4,9,4,0.407832562281982,864,0.011832562281982
"4",3,12,4,0.396,3,4,9,4,0.407832562281982,864,0.011832562281982
"5",3,9,4,0.396,3,4,10,2,0.407832562281982,1331,0.011832562281982
"6",3,10,4,0.396,3,4,10,2,0.407832562281982,1331,0.011832562281982
"7",3,11,4,0.396,3,4,10,2,0.407832562281982,1331,0.011832562281982
"8",3,12,4,0.396,3,4,10,2,0.407832562281982,1331,0.011832562281982
"9",3,9,4,0.396,3,4,11,4,0.407832562281982,988,0.011832562281982
"10",3,10,4,0.396,3,4,11,4,0.407832562281982,988,0.011832562281982
"11",3,11,4,0.396,3,4,11,4,0.407832562281982,988,0.011832562281982
"12",3,12,4,0.396,3,4,11,4,0.407832562281982,988,0.011832562281982
"13",3,9,4,0.396,3,4,12,3,0.407832562281982,89,0.011832562281982
"14",3,10,4,0.396,3,4,12,3,0.407832562281982,89,0.011832562281982
"15",3,11,4,0.396,3,4,12,3,0.407832562281982,89,0.011832562281982
"16",3,12,4,0.396,3,4,12,3,0.407832562281982,89,0.011832562281982
"17",3,13,1,0.531,3,1,13,1,0.502574393367306,1123,0.028425606632694
"18",3,14,3,0.522,3,3,14,1,0.773587882612812,1871,0.251587882612812
"19",3,15,3,0.522,3,3,14,1,0.773587882612812,1871,0.251587882612812
"20",3,14,3,0.522,3,3,15,3,0.773587882612812,302,0.251587882612812
"21",3,15,3,0.522,3,3,15,3,0.773587882612812,302,0.251587882612812
"22",3,1,12,0.571,3,12,1,12,0.511591926116348,1400,0.059408073883652
"23",3,6,12,0.571,3,12,1,12,0.511591926116348,1400,0.059408073883652
"24",3,2,11,0.431,3,11,2,11,0.428935756111475,505,0.002064243888525
"25",3,3,15,0.412,3,15,3,15,0.549163710086163,295,0.137163710086163
"26",3,5,15,0.412,3,15,3,15,0.549163710086163,295,0.137163710086163
"27",3,3,15,0.412,3,15,5,15,0.549163710086163,704,0.137163710086163
"28",3,5,15,0.412,3,15,5,15,0.549163710086163,704,0.137163710086163
"29",3,4,13,0.326,3,13,4,13,0.266992142802655,1407,0.059007857197345
"30",3,1,12,0.571,3,12,6,12,0.511591926116348,2090,0.059408073883652
"31",3,6,12,0.571,3,12,6,12,0.511591926116348,2090,0.059408073883652
"32",3,16,9,0.067,3,9,16,9,0.0623352908219377,1536,0.0046647091780623
"33",3,7,9,0.067,3,9,16,9,0.0623352908219377,1536,0.0046647091780623
"34",3,16,9,0.067,3,9,7,9,0.0623352908219377,18276,0.0046647091780623
"35",3,7,9,0.067,3,9,7,9,0.0623352908219377,18276,0.0046647091780623
"36",3,8,5,0.15,3,5,8,5,0.197824953097145,2635,0.047824953097145
