"","edon.x","escenario1.x","escenario3","dsi_E1_E3_sec","edon.y","disloc2015","disloc2013","escenario1.y","dsi_E1_E3_pob","pob_total","dif"
"1",28,3,3,1,28,3,13,3,1,752,0
"2",28,10,10,1,28,10,18,10,1,2876,0
"3",28,9,9,1,28,9,19,9,1,3750,0
"4",28,1,1,1,28,1,17,1,1,1858,0
"5",28,12,12,1,28,12,4,12,1,3496,0
"6",28,8,8,1,28,8,19,8,1,2787,0
"7",28,2,2,1,28,2,18,2,1,401,0
"8",28,16,16,1,28,16,10,16,1,2053,0
"9",28,17,17,1,28,17,10,17,1,1524,0
"10",28,15,15,1,28,15,10,15,1,2862,0
"11",28,14,14,1,28,14,11,14,1,1313,0
"12",28,11,11,1,28,11,1,11,1,12318,0
"13",28,13,13,1,28,13,1,13,1,1187,0
"14",28,18,18,1,28,18,4,18,1,3212,0
"15",28,20,20,1,28,20,5,20,1,462,0
"16",28,21,21,1,28,21,6,21,1,136,0
"17",28,19,19,1,28,19,6,19,1,1735,0
"18",28,22,22,1,28,22,7,22,1,2959,0
"19",28,7,7,1,28,7,21,7,1,5542,0
"20",28,6,6,1,28,6,22,6,1,3063,0
"21",28,5,5,1,28,5,14,5,1,10725,0
"22",28,4,4,1,28,4,15,4,1,1560,0
