"","edon.x","escenario1.x","escenario3cg","dsi_E1_E3_sec","edon.y","disloc2018","disloc2015","escenario1.y","escenario3jge","dsi_E1_E3_pob","pob_total","dif"
"1",13,8,9,0.697,13,1,18,8,1,0.647024111074616,1422,0.049975888925384
"2",13,7,9,0.697,13,1,18,8,1,0.647024111074616,1422,0.049975888925384
"3",13,2,1,0.416,13,2,14,2,2,0.519352532938594,5385,0.103352532938594
"4",13,6,18,0.6,13,4,16,6,4,0.558775244299674,2564,0.041224755700326
"5",13,11,18,0.6,13,4,16,6,4,0.558775244299674,2564,0.041224755700326
"6",13,8,4,0.686,13,10,11,5,10,0.616422579490452,2261,0.0695774205095481
"7",13,5,4,0.686,13,10,11,5,10,0.616422579490452,2261,0.0695774205095481
"8",13,5,4,0.686,13,10,11,5,10,0.616422579490452,2261,0.0695774205095481
"9",NA,NA,2,NA,13,6,5,3,6,1,2696,NA
"10",13,16,14,1,13,7,13,16,7,1,2734,0
"11",13,2,1,0.416,13,8,18,1,8,0.519352532938594,2786,0.103352532938594
"12",13,18,16,1,13,18,16,18,18,1,1298,0
"13",13,6,18,0.6,13,9,17,11,9,0.558775244299674,2668,0.041224755700326
"14",13,11,18,0.6,13,9,17,11,9,0.558775244299674,2668,0.041224755700326
"15",13,7,13,0.874,13,12,2,7,12,0.869223717654902,1723,0.00477628234509797
"16",13,2,6,0.468,13,2,14,9,2,0.507186982678564,3077,0.039186982678564
"17",NA,NA,15,NA,13,11,13,17,11,1,1969,NA
"18",13,7,13,0.874,13,12,2,15,12,0.869223717654902,3167,0.00477628234509797
"19",NA,NA,11,NA,13,16,2,13,16,1,1153,NA
"20",NA,NA,12,NA,13,15,1,12,15,1,14321,NA
"21",13,10,17,1,13,13,12,10,13,1,1715,0
"22",NA,NA,8,NA,13,3,4,4,3,1,1398,NA
"23",NA,NA,10,NA,13,17,3,14,17,1,11799,NA
