"","edon.x","escenario1.x","escenario3","dsi_E1_E3_sec","edon.y","disloc2018","disloc2015","escenario1.y","dsi_E1_E3_pob","pob_total","dif"
"1",12,24,4,0.39,12,8,8,24,0.43260737949336,1622,0.04260737949336
"2",12,24,9,0.491,12,4,4,18,0.504767402641206,1541,0.013767402641206
"3",12,18,5,0.325,12,5,5,22,0.385274285714286,3694,0.060274285714286
"4",12,20,6,0.413,12,9,9,20,0.47037337914013,6223,0.05737337914013
"5",12,20,6,0.413,12,9,9,21,0.47037337914013,1468,0.05737337914013
"6",12,18,5,0.325,12,5,5,19,0.385274285714286,1824,0.060274285714286
"7",12,21,3,0.558,12,7,7,23,0.705646174901545,5766,0.147646174901545
"8",12,12,1,0.486,12,26,26,12,0.468165205523814,3881,0.017834794476186
"9",12,5,20,0.341,12,17,17,5,0.365652027157884,1519,0.0246520271578839
"10",12,15,14,0.391,12,28,28,15,0.33618945317379,2557,0.05481054682621
"11",12,11,22,0.484,12,20,20,11,0.438208171800756,728,0.045791828199244
"12",12,4,21,0.348,12,18,18,4,0.286358932333118,1844,0.061641067666882
"13",12,15,14,0.391,12,28,28,16,0.33618945317379,1010,0.05481054682621
"14",12,15,14,0.391,12,28,28,14,0.33618945317379,286,0.05481054682621
"15",12,3,26,0.392,12,10,10,3,0.318221728084622,1007,0.073778271915378
"16",12,6,13,0.39,12,14,14,6,0.375543732141015,4404,0.014456267858985
"17",12,6,16,0.256,12,15,15,2,0.309253915910965,1263,0.053253915910965
"18",12,3,26,0.392,12,10,10,9,0.318221728084622,1511,0.073778271915378
"19",12,12,23,0.59,12,23,23,1,0.661037328148296,2130,0.071037328148296
"20",12,10,27,0.312,12,12,12,10,0.189002247125288,675,0.122997752874712
"21",12,6,16,0.256,12,15,15,8,0.309253915910965,1556,0.053253915910965
"22",12,27,12,1,12,25,25,27,1,7040,0
"23",12,25,11,0.382,12,1,1,25,0.474577122234426,10726,0.092577122234426
"24",12,25,11,0.382,12,1,1,26,0.474577122234426,2460,0.092577122234426
"25",12,7,24,0.958,12,22,22,7,0.979493229956739,6477,0.0214932299567391
"26",12,10,27,0.312,12,12,12,28,0.189002247125288,2784,0.122997752874712
"27",12,13,18,0.364,12,13,13,13,0.419671410785343,2105,0.055671410785343
"28",12,4,2,0.664,12,21,21,17,0.807948409152714,894,0.143948409152714
