"","edon.x","escenario1.x","escenario3","dsi_E1_E3_sec","edon.y","disloc2016","disloc2013","escenario1.y","dsi_E1_E3_pob","pob_total","dif"
"1",1,11,11,1,1,11,6,11,1,2331,0
"2",1,11,11,1,1,11,6,11,1,2331,0
"3",NA,NA,13,NA,1,13,10,13,1,1189,NA
"4",1,12,12,1,1,12,11,12,1,465,0
"5",1,10,10,1,1,10,10,10,1,1473,0
"6",1,10,10,1,1,10,10,10,1,1473,0
"7",1,16,16,1,1,16,5,16,1,8392,0
"8",1,16,16,1,1,16,5,16,1,8392,0
"9",1,7,7,1,1,7,12,7,1,12481,0
"10",1,8,8,1,1,8,15,8,1,944,0
"11",NA,NA,15,NA,1,15,15,15,1,1195,NA
"12",1,9,9,1,1,9,15,9,1,2765,0
"13",1,9,9,1,1,9,15,9,1,2765,0
"14",1,6,6,1,1,6,11,6,1,6468,0
"15",NA,NA,14,NA,1,14,17,14,1,1295,NA
"16",1,2,2,1,1,2,2,2,1,2367,0
"17",1,3,3,1,1,3,8,3,1,1568,0
"18",1,4,4,1,1,4,1,4,1,3725,0
"19",1,18,18,1,1,18,7,18,1,8231,0
"20",1,17,17,1,1,17,4,17,1,1962,0
"21",1,1,1,1,1,1,3,1,1,6799,0
"22",NA,NA,5,NA,1,5,12,5,1,830,NA
