"","seccion","munn","edon","dis_nueva","dis_anterior","pob","esc1","esc3","urbana","rural","mixta","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","SQ_","dsi_sec"
"1",1,1,1,11,6,2331,11,11,1,0,0,6,0.605,0.975,0,0.025,6,0.426
"2",3,1,1,11,10,1986,11,11,1,0,0,6,0.605,0.907,0.047,0.047,6,0.426
"3",28,1,1,12,11,465,12,12,1,0,0,11,0.723,1,0,0,11,0.779
"4",80,1,1,16,5,8392,16,16,0,0,1,15,0.092,0.833,0,0.167,15,0.083
"5",83,1,1,7,12,12481,7,7,0,0,1,12,0.798,0.684,0,0.316,12,0.6
"6",87,1,1,16,15,2771,16,16,1,0,0,15,0.092,1,0,0,15,0.083
"7",99,1,1,8,13,2727,8,8,1,0,0,13,0.434,1,0,0,13,0.321
"8",134,1,1,9,16,967,9,9,1,0,0,16,0.211,0.946,0,0.054,16,0.322
"9",155,1,1,9,14,13928,9,9,1,0,0,16,0.211,1,0,0,16,0.322
"10",176,1,1,10,17,499,10,10,1,0,0,17,0.674,1,0,0,17,0.671
"11",232,1,1,10,9,959,10,10,1,0,0,17,0.674,0.757,0.189,0.054,17,0.671
"12",315,1,1,6,18,4705,6,6,0,0,1,18,0.728,0.815,0.074,0.111,18,0.594
"13",338,2,1,2,2,2367,2,2,0,0,1,2,1,0.04,0.68,0.28,2,1
"14",355,3,1,3,8,1568,3,3,0,0,1,8,0.865,0.344,0.469,0.188,8,0.8
"15",387,4,1,4,1,3725,4,4,1,0,0,1,0.884,0.353,0.353,0.294,1,0.765
"16",392,5,1,18,7,8231,18,18,0,0,1,7,1,0.375,0.438,0.188,7,1
"17",400,5,1,17,4,1962,17,17,0,0,1,4,1,0.25,0.312,0.438,4,1
"18",415,6,1,1,3,6799,1,1,0,0,1,3,1,0.444,0.407,0.148,3,1
"19",1,1,2,15,14,1952,7,7,1,0,0,14,0.201,0.901,0.079,0.02,14,0.345
"20",68,1,2,16,15,755,6,6,1,0,0,14,0.56,0.72,0.271,0.009,14,0.396
"21",211,2,2,4,1,948,1,1,1,0,0,1,0.628,1,0,0,1,0.748
"22",217,2,2,3,2,389,5,5,1,0,0,2,0.442,1,0,0,2,0.444
"23",370,2,2,3,3,785,5,5,1,0,0,2,0.442,1,0,0,2,0.444
"24",374,2,2,3,4,958,5,5,1,0,0,2,0.442,0.973,0.027,0,2,0.444
"25",495,2,2,5,6,1785,3,3,1,0,0,6,0.704,0.792,0.092,0.117,6,0.675
"26",549,2,2,1,5,1043,2,2,0,1,0,5,0.817,0.481,0.321,0.198,5,0.86
"27",694,3,2,6,7,1939,12,12,1,0,0,13,0.127,0.61,0.073,0.317,13,0.11
"28",735,4,2,11,8,2750,16,16,1,0,0,8,0.796,0.949,0.036,0.014,8,0.688
"29",746,4,2,10,9,1146,11,11,1,0,0,9,0.605,1,0,0,9,0.603
"30",749,4,2,10,12,1063,11,11,1,0,0,9,0.605,1,0,0,9,0.603
"31",884,4,2,9,10,1603,13,13,1,0,0,12,0.414,1,0,0,12,0.453
"32",1046,4,2,8,13,808,17,17,1,0,0,11,0.53,0.93,0.053,0.017,11,0.482
"33",1098,4,2,8,11,2435,17,17,1,0,0,11,0.53,1,0,0,11,0.482
"34",1190,4,2,13,16,2956,14,14,1,0,0,13,0.115,1,0,0,13,0.121
"35",1194,5,2,15,17,5564,7,7,0,1,0,14,0.201,0.889,0.111,0,14,0.345
"36",1,1,3,4,9,864,4,4,1,0,0,11,0.408,0.7,0.05,0.25,11,0.396
"37",18,1,3,4,10,1331,2,4,1,0,0,11,0.408,0.789,0.211,0,11,0.396
"38",40,1,3,4,11,988,4,4,0,0,1,11,0.408,0.25,0.417,0.333,11,0.396
"39",63,1,3,4,12,89,3,4,0,1,0,11,0.408,0.3,0.65,0.05,11,0.396
"40",75,2,3,1,13,1123,1,1,0,0,1,13,0.503,0.529,0.235,0.235,13,0.531
"41",92,2,3,3,14,1871,1,3,0,0,1,14,0.774,0.583,0.25,0.167,14,0.522
"42",105,2,3,3,15,302,3,3,0,1,0,14,0.774,0.133,0.667,0.2,14,0.522
"43",121,3,3,12,1,1400,12,12,0,0,1,6,0.512,0.947,0,0.053,6,0.571
"44",159,3,3,11,2,505,11,11,1,0,0,1,0.429,1,0,0,1,0.431
"45",184,3,3,15,3,295,15,15,1,0,0,5,0.549,0.957,0,0.043,5,0.553
"46",207,3,3,15,5,704,15,15,1,0,0,5,0.549,0.657,0.257,0.086,5,0.553
"47",226,3,3,13,4,1407,13,13,1,0,0,3,0.267,0.929,0.071,0,3,0.326
"48",267,3,3,12,6,2090,12,12,0,1,0,6,0.512,0,0.85,0.15,6,0.571
"49",290,4,3,9,16,1536,9,9,0,0,1,8,0.062,0.75,0,0.25,8,0.067
"50",298,4,3,9,7,18276,9,9,0,0,1,8,0.062,0.667,0.222,0.111,8,0.067
"51",328,4,3,5,8,2635,5,5,1,0,0,8,0.198,0.928,0.014,0.058,8,0.15
"52",1,1,4,11,2,730,9,11,1,0,0,1,0.289,1,0,0,1,0.306
"53",7,1,4,11,1,1276,9,11,1,0,0,1,0.289,1,0,0,1,0.306
"54",17,1,4,7,7,7054,7,7,0,0,1,2,0.122,0.143,0.667,0.19,2,0.136
"55",39,1,4,7,3,2817,7,7,1,0,0,2,0.122,1,0,0,2,0.136
"56",52,1,4,9,5,753,9,9,1,0,0,5,0.372,0.958,0,0.042,5,0.364
"57",57,1,4,6,4,1182,13,6,1,0,0,4,0.939,1,0,0,4,0.913
"58",101,1,4,9,6,2902,6,9,1,0,0,5,0.372,0.346,0.462,0.192,5,0.364
"59",147,2,4,1,17,2181,1,1,0,0,1,17,0.955,0.625,0.083,0.292,17,0.96
"60",157,2,4,3,19,754,3,3,0,1,0,19,0.955,0.267,0.533,0.2,19,0.967
"61",183,3,4,15,11,7130,14,15,1,0,0,10,0.301,1,0,0,10,0.353
"62",185,3,4,15,10,3472,19,15,1,0,0,10,0.301,1,0,0,10,0.353
"63",187,3,4,12,9,1834,17,12,1,0,0,9,0.644,1,0,0,9,0.567
"64",216,3,4,17,8,1002,18,17,1,0,0,20,0.428,1,0,0,20,0.383
"65",250,3,4,14,12,3209,16,14,0,0,1,20,0.277,0.364,0.455,0.182,20,0.356
"66",261,3,4,14,20,1589,16,14,0,1,0,20,0.277,0.059,0.824,0.118,20,0.356
"67",273,10,4,4,14,3519,4,4,0,1,0,14,1,0.133,0.833,0.033,14,1
"68",303,4,4,21,15,951,11,21,1,0,0,15,0.979,0.68,0.24,0.08,15,0.926
"69",320,4,4,20,16,2002,12,20,0,0,1,16,0.979,0.25,0.571,0.179,16,0.929
"70",356,9,4,18,21,2711,21,18,0,1,0,21,1,0,0.962,0.038,21,1
"71",381,6,4,2,18,2426,2,2,0,0,1,18,1,0.094,0.688,0.219,18,1
"72",448,9,4,19,13,3785,20,19,0,0,1,13,1,0.643,0.25,0.107,13,1
"73",1,1,5,5,13,760,6,5,0,0,1,12,0.427,0.673,0.1,0.227,12,0.41
"74",3,2,5,1,15,3083,5,3,1,0,0,15,0.851,0.783,0.152,0.065,15,0.708
"75",42,3,5,5,14,3656,6,5,1,0,0,12,0.427,0.611,0.194,0.194,12,0.41
"76",57,4,5,12,5,7004,7,11,0,0,1,5,1,0.252,0.643,0.104,5,1
"77",81,5,5,5,12,593,6,5,0,0,1,12,0.427,0.803,0.128,0.068,12,0.41
"78",110,7,5,4,11,1287,2,4,0,0,1,10,0.494,0.705,0.18,0.115,10,0.443
"79",131,9,5,7,10,2483,3,8,1,0,0,6,0.457,0.407,0.537,0.057,6,0.618
"80",257,17,5,7,6,1941,3,8,1,0,0,6,0.457,0.284,0.52,0.196,6,0.618
"81",577,25,5,2,16,4421,8,16,0,0,1,16,0.835,0.908,0.034,0.057,16,0.784
"82",730,30,5,14,4,2708,16,13,1,0,0,1,0.713,0.966,0.034,0,1,0.7
"83",731,30,5,14,1,7970,16,13,1,0,0,1,0.713,1,0,0,1,0.7
"84",834,30,5,15,2,3589,14,14,1,0,0,2,0.345,0.699,0.285,0.016,2,0.199
"85",839,30,5,15,3,833,13,14,1,0,0,2,0.345,1,0,0,2,0.199
"86",1172,35,5,8,9,4860,12,7,1,0,0,9,0.324,1,0,0,9,0.283
"87",1218,35,5,9,8,1326,11,10,1,0,0,8,0.572,1,0,0,8,0.65
"88",1352,35,5,11,7,2197,9,9,1,0,0,7,0.245,1,0,0,7,0.15
"89",1,1,6,6,1,5884,15,11,1,0,0,6,0.484,0.8,0,0.2,6,0.581
"90",3,1,6,2,2,1916,16,12,1,0,0,2,0.381,1,0,0,2,0.5
"91",49,1,6,2,5,295,16,12,1,0,0,2,0.381,0.552,0.207,0.241,2,0.5
"92",50,1,6,1,3,906,16,9,1,0,0,2,0.298,0.393,0.464,0.143,2,0.308
"93",92,2,6,4,4,2841,1,14,0,0,1,4,0.343,0.292,0.333,0.375,4,0.419
"94",120,4,6,6,6,2463,15,11,1,0,0,6,0.484,0.238,0.333,0.429,6,0.581
"95",138,5,6,7,7,7725,4,15,1,0,0,7,0.678,1,0,0,7,0.579
"96",160,5,6,8,8,3320,5,16,1,0,0,8,0.744,1,0,0,8,0.683
"97",170,6,6,9,9,2457,2,1,0,0,1,9,0.62,0.5,0.077,0.423,9,0.636
"98",200,8,6,13,13,463,8,4,0,0,1,13,0.767,0.923,0,0.077,13,0.857
"99",222,8,6,14,14,572,7,2,0,1,0,14,0.254,0.15,0.45,0.4,14,0.485
"100",228,8,6,14,11,2221,7,2,0,1,0,14,0.254,0.571,0.214,0.214,14,0.485
"101",249,8,6,12,12,721,8,3,1,0,0,11,0.248,0.765,0.059,0.176,11,0.176
"102",277,10,6,10,10,4006,10,6,0,0,1,10,0.31,0.579,0.105,0.316,10,0.333
"103",280,10,6,10,15,10229,10,6,0,0,1,10,0.31,0.812,0.062,0.125,10,0.333
"104",295,10,6,16,16,917,12,7,1,0,0,16,0.261,0.5,0.25,0.25,16,0.3
"105",1,1,7,18,16,5562,5,24,0,0,1,16,0.305,0.149,0.603,0.248,16,0.292
"106",7,2,7,3,3,3339,1,16,1,0,0,3,0.456,0.354,0.477,0.169,3,0.455
"107",35,4,7,20,7,4060,19,23,0,0,1,20,0.49,0.133,0.796,0.071,20,0.472
"108",44,5,7,11,12,3226,23,11,1,0,0,11,0.418,0.261,0.648,0.091,11,0.416
"109",54,6,7,17,17,2716,9,18,0,0,1,17,0.646,0.06,0.761,0.179,17,0.657
"110",68,7,7,20,4,2233,19,23,1,0,0,20,0.49,0.289,0.4,0.311,20,0.472
"111",72,8,7,23,23,2123,9,7,1,0,0,23,0.532,0.219,0.518,0.263,23,0.515
"112",88,9,7,15,15,1760,11,6,1,0,0,15,0.395,0.328,0.552,0.121,15,0.426
"113",130,12,7,2,14,6772,10,9,1,0,0,1,0.223,0.262,0.544,0.194,1,0.208
"114",144,13,7,11,10,3384,23,11,1,0,0,11,0.418,0.227,0.773,0,11,0.416
"115",163,15,7,24,24,2650,12,19,1,0,0,24,0.735,0.299,0.623,0.078,24,0.7
"116",186,16,7,9,9,1464,20,20,0,0,1,9,1,0.143,0.771,0.086,9,1
"117",234,18,7,12,13,1431,4,12,1,0,0,12,0.552,0.232,0.681,0.087,12,0.53
"118",239,19,7,6,6,6070,6,8,1,0,0,6,0.673,0.376,0.532,0.092,6,0.629
"119",331,22,7,21,22,849,23,10,1,0,0,22,0.368,0.1,0.87,0.03,22,0.341
"120",375,24,7,20,21,2613,19,23,0,0,1,20,0.49,0.164,0.787,0.049,20,0.472
"121",602,41,7,10,20,4179,6,17,0,0,1,6,0.2,0.175,0.789,0.035,6,0.237
"122",662,47,7,11,11,2832,23,11,0,0,1,11,0.418,0.25,0.531,0.219,11,0.416
"123",1082,75,7,8,8,2825,22,4,1,0,0,8,0.562,0.228,0.772,0,8,0.537
"124",1113,77,7,5,5,4271,24,1,1,0,0,5,0.829,0.645,0.29,0.065,5,0.823
"125",1265,90,7,19,18,2574,12,14,1,0,0,18,0.562,0.627,0.366,0.007,18,0.5
"126",1602,102,7,1,1,11313,15,13,1,0,0,1,0.313,0.98,0,0.02,1,0.249
"127",1930,102,7,1,2,1802,15,13,1,0,0,1,0.313,1,0,0,1,0.249
"128",1976,90,7,19,19,879,2,14,1,0,0,18,0.562,1,0,0,18,0.5
"129",1,1,8,11,1,732,1,1,0,0,1,10,0.634,0.599,0.293,0.109,10,0.534
"130",17,2,8,11,10,3914,1,1,1,0,0,10,0.634,0.444,0.474,0.083,10,0.534
"131",38,3,8,20,22,1133,3,2,0,0,1,12,0.941,0.599,0.305,0.096,12,0.885
"132",82,6,8,13,11,637,5,4,1,0,0,14,0.482,0.295,0.538,0.167,14,0.415
"133",102,7,8,22,21,1583,6,6,0,0,1,21,0.848,0.113,0.84,0.047,21,0.757
"134",127,9,8,13,14,241,5,4,1,0,0,14,0.482,0.11,0.766,0.124,14,0.415
"135",175,11,8,20,12,458,3,2,0,0,1,12,0.941,0.471,0.297,0.232,12,0.885
"136",271,17,8,14,13,1489,7,7,1,0,0,13,0.953,0.707,0.259,0.034,13,0.921
"137",402,19,8,18,19,924,10,10,1,0,0,19,0.248,1,0,0,19,0.271
"138",437,19,8,16,18,791,11,11,1,0,0,19,0.358,1,0,0,19,0.424
"139",538,19,8,18,16,4027,10,10,1,0,0,19,0.248,0.869,0.098,0.033,19,0.271
"140",608,19,8,12,15,19342,9,9,1,0,0,15,0.633,0.839,0.125,0.036,15,0.596
"141",621,19,8,12,17,4564,9,9,1,0,0,15,0.633,0.979,0.011,0.011,15,0.596
"142",921,21,8,19,20,943,8,8,1,0,0,20,0.892,0.836,0.082,0.082,20,0.866
