"seccion","munn","edo","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","SQ_","dsi_sec"
1,1,"jal",14,2,3,1998,3,2,0,0,1,3,0.318,0.341,0.42,0.239,3,0.256
13,2,"jal",14,4,17,2431,8,4,0,0,1,18,0.29,0.386,0.357,0.256,18,0.352
24,3,"jal",14,3,1,2618,8,3,0,0,1,18,0.29,0.286,0.432,0.282,18,0.352
36,4,"jal",14,5,19,1127,4,5,1,0,0,18,0.334,0.47,0.356,0.174,18,0.293
48,6,"jal",14,4,18,3485,8,4,1,0,0,18,0.29,0.447,0.383,0.17,18,0.352
149,11,"jal",14,4,5,983,6,4,0,0,1,5,0.749,0.374,0.416,0.211,5,0.673
161,13,"jal",14,8,15,1248,7,8,0,0,1,15,0.463,0.394,0.415,0.192,15,0.481
452,30,"jal",14,3,0,945,2,3,0,1,0,1,0.557,0,0,0,1,0.578
501,36,"jal",14,9,2,5485,5,9,0,0,1,2,0.778,0.362,0.434,0.204,2,0.757
570,41,"jal",14,13,12,693,14,13,1,0,0,8,0.398,1,0,0,8,0.364
633,41,"jal",14,12,9,1303,12,12,1,0,0,9,0.675,1,0,0,9,0.682
640,41,"jal",14,12,11,1523,12,12,1,0,0,9,0.675,1,0,0,9,0.682
731,41,"jal",14,11,13,1863,13,11,1,0,0,13,0.451,1,0,0,13,0.443
793,41,"jal",14,10,14,1657,11,10,1,0,0,14,0.663,1,0,0,14,0.646
1087,41,"jal",14,13,8,3015,14,13,1,0,0,8,0.398,1,0,0,8,0.364
2024,72,"jal",14,2,7,21175,1,2,0,0,1,17,0.261,0.701,0.093,0.206,17,0.232
2473,99,"jal",14,14,16,1791,20,14,1,0,0,16,0.474,0.993,0,0.007,16,0.57
2650,102,"jal",14,16,20,6516,19,16,1,0,0,20,0.75,0.901,0,0.099,20,0.72
2900,120,"jal",14,19,10,1554,16,19,1,0,0,6,0.549,1,0,0,6,0.515
2909,120,"jal",14,17,4,1749,17,17,1,0,0,4,0.774,0.958,0.021,0.021,4,0.648
2966,120,"jal",14,19,6,4328,17,19,1,0,0,4,0.774,0.91,0.028,0.062,4,0.648
