"seccion","munn","edo","edon","disloc2016","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","prop_urbana","prop_rural","prop_mixta","SQ","dsi_pob","SQ_","dsi_sec"
1,1,"hgo",13,1,18,1422,8,1,0,0,1,0.049,0.878,0.073,8,0.647,8,0.697
34,3,"hgo",13,2,14,5385,2,2,1,0,0,0.286,0.621,0.093,2,0.519,2,0.416
92,6,"hgo",13,4,16,2564,6,4,0,0,1,0.157,0.817,0.026,11,0.559,11,0.6
114,7,"hgo",13,10,11,2261,5,10,0,0,1,0.402,0.424,0.174,5,0.616,5,0.686
152,9,"hgo",13,6,5,2696,3,6,1,0,0,0.516,0.319,0.165,3,1,3,1
162,10,"hgo",13,7,13,2734,16,7,0,0,1,0.113,0.78,0.107,16,1,16,1
178,11,"hgo",13,8,18,2786,1,8,1,0,0,0.049,0.878,0.073,2,0.519,2,0.416
240,14,"hgo",13,18,16,1298,18,18,0,0,1,0.157,0.817,0.026,18,1,18,1
291,17,"hgo",13,9,17,2668,11,9,0,0,1,0,0.923,0.077,11,0.559,11,0.6
358,22,"hgo",13,12,2,1723,7,12,0,0,1,0.771,0.125,0.104,15,0.869,15,0.718
369,23,"hgo",13,2,14,3077,9,2,0,0,1,0.286,0.621,0.093,9,0.507,9,0.468
405,25,"hgo",13,11,13,1969,17,11,1,0,0,0.113,0.78,0.107,17,1,17,1
726,40,"hgo",13,12,2,3167,15,12,0,0,1,0.771,0.125,0.104,15,0.869,15,0.718
742,47,"hgo",13,16,2,1153,13,16,1,0,0,0.771,0.125,0.104,13,1,13,1
852,47,"hgo",13,15,1,14321,12,15,0,0,1,0.725,0.147,0.127,12,1,12,1
1350,68,"hgo",13,13,12,1715,10,13,1,0,0,0.356,0.339,0.305,10,1,10,1
1369,69,"hgo",13,3,4,1398,4,3,1,0,0,0.505,0.344,0.151,4,1,4,1
1502,76,"hgo",13,17,3,11799,14,17,0,0,1,0.47,0.35,0.18,14,1,14,1
