"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2011","X","edon.y","munn.y","escenario1","escenario2","escenario3","mc_clv1","mc_iee1","morena_clv1","morena_iee1","prd_clv1","prd_iee1","pri_clv1","pt_clv1","mc_clv2","morena_clv2","panal_clv2","pan_clv2","pes_clv2","ph_iee2","prd_clv2","pri_clv2","prs_iee2","pt_clv2","pvem_clv2","esc1_mcCLV1","esc1_mcIEE1","esc1_morCLV1","esc1_morIEE1","esc1_prdCLV1","esc1_prdIEE1","esc1_priCLV1","esc1_ptCLV1","esc2_mcCLV2","esc2_morCLV2","esc2_panalCLV2","esc2_panCLV2","esc2_pesCLV2","esc2_phIEE2","esc2_prdCLV2","esc2_priCLV2","esc2_prsIEE2","esc2_ptCLV2","esc2_pvemCLV2","SQ","dsiSQ_E1","dsiSQ_E3"
195,3,3,"bcs",1,2,2,1,13,3,191,3,3,13,13,13,14,14,14,14,14,14,2,14,11,11,16,12,12,12,12,16,12,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.326,0.326
196,3,3,"bcs",1,2,2,1,13,3,192,3,3,13,13,13,14,14,14,14,14,14,2,14,11,11,16,12,12,12,12,16,12,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.326,0.326
197,3,3,"bcs",1,2,2,1,13,3,193,3,3,13,13,13,12,12,12,12,12,12,7,12,11,11,13,12,12,12,12,13,12,11,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,0.326,0.326
198,3,3,"bcs",1,2,2,1,13,3,194,3,3,13,13,13,14,14,14,14,14,14,7,14,11,11,13,12,12,12,12,13,12,11,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,0.326,0.326
199,3,3,"bcs",1,2,2,1,13,3,195,3,3,13,13,13,14,14,14,14,14,14,7,14,11,11,13,12,12,12,12,13,12,11,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,0.326,0.326
200,3,3,"bcs",1,2,2,1,13,3,196,3,3,13,13,13,14,14,14,14,14,14,7,14,11,11,13,12,12,12,12,13,12,11,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,0.326,0.326
201,3,3,"bcs",1,2,2,1,13,3,197,3,3,13,13,13,14,14,14,14,14,14,7,14,11,11,13,12,12,12,12,13,12,11,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,0.326,0.326
202,3,3,"bcs",1,2,2,1,16,3,198,3,3,16,16,16,12,12,12,12,12,12,7,12,14,14,13,13,13,13,13,13,13,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.295,0.295
203,3,3,"bcs",1,2,2,1,16,3,199,3,3,16,16,16,14,14,14,14,14,14,7,14,14,14,13,12,12,12,12,13,12,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.295,0.295
204,3,3,"bcs",1,2,2,1,16,3,200,3,3,16,16,16,14,14,14,14,14,14,7,14,14,14,13,12,12,12,12,13,12,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.295,0.295
