"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2012","cab","X","edon.y","munn.y","escenario1","escenario2","escenario3_jge","escenario3","mc_clv1","pan_iee1","pri_clv1","pan_clv2","prd_clv2","prd_cnv2","esc1_priCLV1","esc1_panIEE1","esc1_mcCLV1","esc2_panCLV2","esc2_prdCLV2","esc2_prdCNV2","SQ","dsiSQ_E1","dsiSQ_E3"
1,1,17,"mor",4,4,4,4,9,9,"puente de ixtla",1,17,1,1,1,1,1,10,6,1,1,1,1,1,0,0,1,1,1,9,0.467,0.462
2,1,17,"mor",4,4,4,4,9,9,"puente de ixtla",2,17,1,1,1,1,1,10,6,1,1,1,1,1,0,0,1,1,1,9,0.467,0.462
3,1,17,"mor",4,4,4,4,9,9,"puente de ixtla",3,17,1,1,1,1,1,10,6,1,1,1,1,1,0,0,1,1,1,9,0.467,0.462
4,1,17,"mor",4,4,4,4,9,9,"puente de ixtla",4,17,1,1,1,1,1,10,6,1,1,1,1,1,0,0,1,1,1,9,0.467,0.462
5,1,17,"mor",4,4,4,4,9,9,"puente de ixtla",5,17,1,1,1,1,1,10,6,1,1,1,1,1,0,0,1,1,1,9,0.467,0.462
6,1,17,"mor",4,4,4,4,9,9,"puente de ixtla",6,17,1,1,1,1,1,10,6,1,1,1,1,1,0,0,1,1,1,9,0.467,0.462
7,1,17,"mor",4,4,4,4,9,9,"puente de ixtla",7,17,1,1,1,1,1,10,6,1,1,1,1,1,0,0,1,1,1,9,0.467,0.462
8,1,17,"mor",4,4,4,4,9,9,"puente de ixtla",8,17,1,1,1,1,1,10,6,1,1,1,1,1,0,0,1,1,1,9,0.467,0.462
9,1,17,"mor",4,4,4,4,9,9,"puente de ixtla",9,17,1,1,1,1,1,10,6,1,1,1,1,1,0,0,1,1,1,9,0.467,0.462
10,1,17,"mor",4,4,4,4,9,9,"puente de ixtla",10,17,1,1,1,1,1,10,6,1,1,1,1,1,0,0,1,1,1,9,0.467,0.462
11,1,17,"mor",4,4,4,4,9,9,"puente de ixtla",11,17,1,1,1,1,1,10,6,1,1,1,1,1,0,0,1,1,1,9,0.467,0.462
12,2,17,"mor",3,2,3,5,4,13,"yecapixtla",12,17,2,11,11,11,11,12,11,2,7,11,11,0,1,0,0,1,1,17,0.589,0.642
13,2,17,"mor",3,2,3,5,4,13,"yecapixtla",13,17,2,11,11,11,11,12,11,2,7,11,11,0,1,0,0,1,1,17,0.589,0.642
14,2,17,"mor",3,2,3,5,4,13,"yecapixtla",14,17,2,11,11,11,11,12,11,2,7,11,11,0,1,0,0,1,1,17,0.589,0.642
15,2,17,"mor",3,2,3,5,4,13,"yecapixtla",15,17,2,11,11,11,11,12,11,2,7,11,11,0,1,0,0,1,1,17,0.589,0.642
16,2,17,"mor",3,2,3,5,4,13,"yecapixtla",16,17,2,11,11,11,11,12,11,2,7,11,11,0,1,0,0,1,1,17,0.589,0.642
17,2,17,"mor",3,2,3,5,4,13,"yecapixtla",17,17,2,11,11,11,11,12,11,2,7,11,11,0,1,0,0,1,1,17,0.589,0.642
18,2,17,"mor",3,2,3,5,4,13,"yecapixtla",18,17,2,11,11,11,11,12,11,2,7,11,11,0,1,0,0,1,1,17,0.589,0.642
19,2,17,"mor",3,2,3,5,4,13,"yecapixtla",19,17,2,11,11,11,11,12,11,2,7,11,11,0,1,0,0,1,1,17,0.589,0.642
20,2,17,"mor",3,2,3,5,4,13,"yecapixtla",20,17,2,11,11,11,11,12,11,2,7,11,11,0,1,0,0,1,1,17,0.589,0.642
21,2,17,"mor",3,2,3,5,4,13,"yecapixtla",21,17,2,11,11,11,11,12,11,2,7,11,11,0,1,0,0,1,1,17,0.589,0.642
22,2,17,"mor",3,2,3,5,4,13,"yecapixtla",22,17,2,11,11,11,11,12,11,2,7,11,11,0,1,0,0,1,1,17,0.589,0.642
23,2,17,"mor",3,2,3,5,4,13,"yecapixtla",23,17,2,11,11,11,11,12,11,2,7,11,11,0,1,0,0,1,1,17,0.589,0.642
24,3,17,"mor",2,3,5,3,11,18,"jojutla",24,17,3,2,2,2,2,11,9,3,3,2,2,0,0,0,0,1,1,11,0.487,0.633
25,3,17,"mor",2,3,5,3,11,18,"jojutla",25,17,3,2,2,2,2,11,9,3,3,2,2,0,0,0,0,1,1,11,0.487,0.633
26,3,17,"mor",2,3,5,3,11,18,"jojutla",26,17,3,2,2,2,2,11,9,3,3,2,2,0,0,0,0,1,1,11,0.487,0.633
27,3,17,"mor",2,3,5,3,11,18,"jojutla",27,17,3,2,2,2,2,11,9,3,3,2,2,0,0,0,0,1,1,11,0.487,0.633
28,3,17,"mor",2,3,5,3,11,18,"jojutla",28,17,3,2,2,2,2,11,9,3,3,2,2,0,0,0,0,1,1,11,0.487,0.633
29,3,17,"mor",2,3,5,3,11,18,"jojutla",29,17,3,2,2,2,2,11,9,3,3,2,2,0,0,0,0,1,1,11,0.487,0.633
30,3,17,"mor",2,3,5,3,11,18,"jojutla",30,17,3,2,2,2,2,11,9,3,3,2,2,0,0,0,0,1,1,11,0.487,0.633
31,3,17,"mor",2,3,5,3,11,18,"jojutla",31,17,3,2,2,2,2,11,9,3,3,2,2,0,0,0,0,1,1,11,0.487,0.633
32,3,17,"mor",2,3,5,3,11,18,"jojutla",32,17,3,2,2,2,2,11,9,3,3,2,2,0,0,0,0,1,1,11,0.487,0.633
33,3,17,"mor",2,3,5,3,11,18,"jojutla",33,17,3,2,2,2,2,11,9,3,3,2,2,0,0,0,0,1,1,11,0.487,0.633
34,3,17,"mor",2,3,5,3,11,18,"jojutla",34,17,3,2,2,2,2,11,9,3,3,2,2,0,0,0,0,1,1,11,0.487,0.633
35,3,17,"mor",2,3,5,3,11,18,"jojutla",35,17,3,2,2,2,2,11,9,3,3,2,2,0,0,0,0,1,1,11,0.487,0.633
36,3,17,"mor",2,3,5,3,11,18,"jojutla",36,17,3,2,2,2,2,11,9,3,3,2,2,0,0,0,0,1,1,11,0.487,0.633
37,3,17,"mor",2,3,5,3,11,18,"jojutla",37,17,3,2,2,2,2,11,9,3,3,2,2,0,0,0,0,1,1,11,0.487,0.633
38,3,17,"mor",2,3,5,3,11,18,"jojutla",38,17,3,2,2,2,2,11,9,3,3,2,2,0,0,0,0,1,1,11,0.487,0.633
39,3,17,"mor",2,3,5,3,11,18,"jojutla",39,17,3,2,2,2,2,11,9,3,3,2,2,0,0,0,0,1,1,11,0.487,0.633
40,3,17,"mor",2,3,5,3,11,18,"jojutla",40,17,3,2,2,2,2,11,9,3,3,2,2,0,0,0,0,1,1,11,0.487,0.633
41,3,17,"mor",2,3,5,3,11,18,"jojutla",41,17,3,2,2,2,2,11,9,3,3,2,2,0,0,0,0,1,1,11,0.487,0.633
42,3,17,"mor",2,3,5,3,11,18,"jojutla",42,17,3,2,2,2,2,11,9,3,3,2,2,0,0,0,0,1,1,11,0.487,0.633
43,3,17,"mor",2,3,5,3,11,18,"jojutla",43,17,3,2,2,2,2,11,9,3,3,2,2,0,0,0,0,1,1,11,0.487,0.633
44,4,17,"mor",2,3,5,3,10,16,"ayala",44,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
45,4,17,"mor",2,3,5,3,10,16,"ayala",45,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
