"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2016","cab","disloc2013","X","edon.y","munn.y","escenario1","escenario2","escenario3","panal_cnv1","pri_clv1","mc_clv2","panal_cnv2","pan_clv2","pan_cnv2","pri_clv2","esc1_panalCNV1","esc1_priCLV1","esc2_mcCLV2","esc2_panalCNV2","esc2_panCLV2","esc2_panCNV2","esc2_priCLV2","SQ","dsiSQ_E1","dsiSQ_E3"
142,9,8,"cua",5,7,9,7,13,"guerrero",14,138,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415
143,9,8,"cua",5,7,9,7,13,"guerrero",14,139,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415
144,9,8,"cua",5,7,9,7,13,"guerrero",14,140,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415
145,9,8,"cua",5,7,9,7,13,"guerrero",14,141,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415
146,9,8,"cua",5,7,9,7,13,"guerrero",14,142,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415
147,9,8,"cua",5,7,9,7,13,"guerrero",14,143,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415
148,9,8,"cua",5,7,9,7,13,"guerrero",14,144,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415
149,10,8,"cua",9,1,7,2,11,"meoqui",11,145,8,10,1,1,1,4,1,1,3,7,1,1,0,1,1,0,0,1,1,10,0.531,0.531
150,10,8,"cua",9,1,7,2,11,"meoqui",11,146,8,10,1,1,1,4,1,1,3,7,1,1,0,1,1,0,0,1,1,10,0.531,0.531
151,10,8,"cua",9,1,7,2,11,"meoqui",11,147,8,10,1,1,1,4,1,1,3,7,1,1,0,1,1,0,0,1,1,10,0.531,0.531
152,10,8,"cua",9,1,7,2,11,"meoqui",11,148,8,10,1,1,1,4,1,1,3,7,1,1,0,1,1,0,0,1,1,10,0.531,0.531
153,10,8,"cua",9,1,7,2,11,"meoqui",11,149,8,10,1,1,1,4,1,1,3,7,1,1,0,1,1,0,0,1,1,10,0.531,0.531
154,10,8,"cua",9,1,7,2,11,"meoqui",11,150,8,10,1,1,1,4,1,1,3,7,1,1,0,1,1,0,0,1,1,10,0.531,0.531
155,10,8,"cua",9,1,7,2,11,"meoqui",11,151,8,10,1,1,1,4,1,1,3,7,1,1,0,1,1,0,0,1,1,10,0.531,0.531
156,10,8,"cua",9,1,7,2,11,"meoqui",11,152,8,10,1,1,1,4,1,1,3,7,1,1,0,1,1,0,0,1,1,10,0.531,0.531
157,10,8,"cua",9,1,7,2,11,"meoqui",11,153,8,10,1,1,1,4,1,1,3,7,1,1,0,1,1,0,0,1,1,10,0.531,0.531
158,10,8,"cua",9,1,7,2,11,"meoqui",11,154,8,10,1,1,1,4,1,1,3,7,1,1,0,1,1,0,0,1,1,10,0.531,0.531
159,10,8,"cua",9,1,7,2,11,"meoqui",11,155,8,10,1,1,1,4,1,1,3,7,1,1,0,1,1,0,0,1,1,10,0.531,0.531
160,10,8,"cua",9,1,7,2,11,"meoqui",11,156,8,10,1,1,1,4,1,1,3,7,1,1,0,1,1,0,0,1,1,10,0.531,0.531
161,10,8,"cua",9,1,7,2,11,"meoqui",11,157,8,10,1,1,1,4,1,1,3,7,1,1,0,1,1,0,0,1,1,10,0.531,0.531
162,10,8,"cua",9,1,7,2,11,"meoqui",11,158,8,10,1,1,1,4,1,1,3,7,1,1,0,1,1,0,0,1,1,10,0.531,0.531
163,10,8,"cua",9,1,7,2,11,"meoqui",11,159,8,10,1,1,1,4,1,1,3,7,1,1,0,1,1,0,0,1,1,10,0.531,0.531
164,10,8,"cua",9,1,7,2,11,"meoqui",11,160,8,10,1,1,1,4,1,1,3,7,1,1,0,1,1,0,0,1,1,10,0.531,0.531
165,10,8,"cua",9,1,7,2,11,"meoqui",11,161,8,10,1,1,1,4,1,1,3,7,1,1,0,1,1,0,0,1,1,10,0.531,0.531
166,10,8,"cua",9,1,7,2,11,"meoqui",11,162,8,10,1,1,1,4,1,1,3,7,1,1,0,1,1,0,0,1,1,10,0.531,0.531
167,10,8,"cua",9,1,7,2,11,"meoqui",11,163,8,10,1,1,1,4,1,1,3,7,1,1,0,1,1,0,0,1,1,10,0.531,0.531
168,10,8,"cua",9,1,7,2,11,"meoqui",11,164,8,10,1,1,1,4,1,1,3,7,1,1,0,1,1,0,0,1,1,10,0.531,0.531
169,10,8,"cua",9,1,7,2,11,"meoqui",11,165,8,10,1,1,1,4,1,1,3,7,1,1,0,1,1,0,0,1,1,10,0.531,0.531
170,10,8,"cua",9,1,7,2,11,"meoqui",11,166,8,10,1,1,1,4,1,1,3,7,1,1,0,1,1,0,0,1,1,10,0.531,0.531
