"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2015","X","edon.y","munn.y","escenario1","escenario2","escenario3","mc_clv1","morena_clv1","morena_iee1","panal_clv1","pes_clv1","pri_clv1","pt_clv1","pvem_clv1","mc_clv2","panal_clv2","pes_clv2","pri_clv2","pt_clv2","pvem_clv2","esc1_morCLV1","esc1_morIEE1","esc1_panalCLV1","esc1_pesCLV1","esc1_mcCLV1","esc1_priCLV1","esc1_ptCLV1","esc1_pvemCLV1","esc2_mcCLV2","esc2_panalCLV2","esc2_pesCLV2","esc2_priCLV2","esc2_ptCLV2","esc2_pvemCLV2","E1","dsiE1_E3"
1,1,6,"col",1,1,1,1,6,1,1,6,1,15,15,11,9,9,2,12,9,7,9,9,9,12,9,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.931
2,1,6,"col",1,1,1,1,6,1,2,6,1,15,15,11,9,9,2,12,9,7,9,9,9,12,9,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.931
3,1,6,"col",1,1,1,1,2,2,3,6,1,16,16,12,6,6,2,10,6,7,6,6,6,10,6,7,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
4,1,6,"col",1,1,1,1,2,2,4,6,1,16,16,12,9,9,2,10,9,7,9,9,9,10,9,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
5,1,6,"col",1,1,1,1,2,2,5,6,1,16,16,12,9,9,2,10,9,7,9,9,9,10,9,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
6,1,6,"col",1,1,1,1,6,1,6,6,1,15,15,11,9,9,2,9,9,7,9,9,9,9,9,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.931
7,1,6,"col",1,1,1,1,2,2,7,6,1,16,16,12,6,6,2,10,6,7,6,6,6,10,6,7,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
8,1,6,"col",1,1,1,1,2,2,8,6,1,16,16,12,6,6,2,10,6,7,6,6,6,10,6,7,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
9,1,6,"col",1,1,1,1,2,2,9,6,1,16,16,12,8,8,2,10,8,7,8,8,8,10,8,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
10,1,6,"col",1,1,1,1,2,2,10,6,1,16,16,12,9,9,2,10,9,7,9,9,9,10,9,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
11,1,6,"col",1,1,1,1,2,2,11,6,1,16,16,12,9,9,2,9,9,7,9,9,9,9,9,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
12,1,6,"col",1,1,1,1,6,1,12,6,1,15,15,11,9,9,2,9,9,7,9,9,9,9,9,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.931
13,1,6,"col",1,1,1,1,6,1,13,6,1,15,15,11,9,9,2,9,9,7,9,9,9,9,9,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.931
14,1,6,"col",1,1,1,1,2,2,14,6,1,16,16,12,6,6,3,10,6,7,6,6,6,10,6,7,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
15,1,6,"col",1,1,1,1,2,2,15,6,1,16,16,12,6,6,3,10,6,7,6,6,6,10,6,7,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
16,1,6,"col",1,1,1,1,2,2,16,6,1,16,16,12,8,8,3,10,8,7,8,8,8,10,8,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
17,1,6,"col",1,1,1,1,2,2,17,6,1,16,16,12,8,8,2,10,8,7,8,8,8,10,8,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
18,1,6,"col",1,1,1,1,2,2,18,6,1,16,16,12,9,9,2,9,9,7,9,9,9,9,9,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
19,1,6,"col",1,1,1,1,2,2,19,6,1,16,16,12,9,9,2,9,9,7,9,9,9,9,9,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.8
20,1,6,"col",1,1,1,1,1,2,20,6,1,16,16,9,9,9,2,9,9,7,9,9,9,9,9,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.429
21,1,6,"col",1,1,1,1,1,2,21,6,1,15,15,9,9,9,2,9,9,7,9,9,9,9,9,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.429
22,1,6,"col",1,1,1,1,6,1,22,6,1,14,14,11,9,9,2,9,9,7,9,9,9,9,9,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.931
