"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2012","RRI_2018","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e","E3","E3_"
1,1,4,11,2,730,9,11,1,0,0,0,1,0,38604,794284,0,0.990884378691876,0.979770169387826,1,0.289,10,0.454,1,0,0,0.273,0.727,0,1,0.306,10,0.286,5,5
7,1,4,11,1,1276,9,11,1,0,0,0,1,0,38604,794284,0,1.14988136135493,0.979770169387826,1,0.289,9,0.289,1,0,0,0.08,0.92,0,1,0.306,9,0.306,11,11
17,1,4,7,7,7054,7,7,0,1,1,1,0,0,38556,794284,0,0.812019313833436,0.980989926834931,2,0.122,3,0.241,0.12,0.88,0.16,0.214,0.786,0,2,0.136,3,0.333,11,11
39,1,4,7,3,2817,7,7,1,0,0,0,1,0,38556,794284,0,1.00767410734108,0.980989926834931,2,0.122,5,0.756,1,0,0,0,1,0,2,0.136,5,0.684,8,8
52,1,4,9,5,753,9,9,1,0,0,0,1,0,38322,794284,0,1.07409120290361,0.986980001540828,5,0.372,6,0.372,0.92,0.08,0.04,0.045,0.955,0,5,0.364,6,0.364,9,9
57,1,4,6,4,1182,13,6,1,0,0,0,1,0,38554,794284,0,1.0445758684042,0.981040815973637,4,0.939,13,0.939,1,0,0,0.133,0.867,0,4,0.913,13,0.913,6,6
101,1,4,9,6,2902,6,9,1,0,0,0,1,0,38322,794284,0,0.897940449623655,0.986980001540828,5,0.372,8,0.356,0.29,0.709,0.161,0.053,0.947,0,5,0.364,8,0.415,10,10
147,2,4,1,17,2181,1,1,0,1,1,0,1,0,41458,794284,0,0.955199828750855,0.912322051692016,17,0.955,1,0.955,0.484,0.516,0.226,0.062,0.938,0,17,0.96,1,0.96,1,1
157,2,4,3,19,754,3,3,0,1,0,0,1,0,39946,794284,0,0.904706092736805,0.946854443975557,19,0.955,3,0.955,0.222,0.778,0.167,0.067,0.933,0,19,0.967,3,0.967,3,3
183,3,4,15,11,7130,14,15,1,0,0,1,0,0,31311,794284,0,1.08010302184727,1.20797954773235,10,0.301,15,0.323,1,0,0,0.667,0.333,0,10,0.353,15,0.273,15,15
185,3,4,15,10,3472,19,15,1,0,0,0,1,0,31311,794284,0,1.11270438982842,1.20797954773235,10,0.301,19,0.301,1,0,0,0.818,0.182,0,10,0.353,19,0.353,15,15
187,3,4,12,9,1834,17,12,1,0,0,1,0,0,38775,794284,0,1.04489329849847,0.975449326087624,9,0.644,17,0.644,1,0,0,0.85,0.15,0,9,0.567,17,0.567,12,12
216,3,4,17,8,1002,18,17,1,0,0,1,0,0,37573,794284,0,1.04023783330714,1.00665498147733,20,0.428,18,0.394,1,0,0,0.947,0.053,0,20,0.383,18,0.379,16,16
250,3,4,14,12,3209,16,14,0,1,1,1,0,0,36484,794284,0,1.89351928005245,1.03670232482863,20,0.277,16,0.548,0.308,0.692,0.154,0.3,0.7,0,20,0.356,16,0.407,14,14
261,3,4,14,20,1589,16,14,0,1,0,0,1,0,36484,794284,0,0.953369990145631,1.03670232482863,20,0.277,14,0.428,0.053,0.947,0.105,0.12,0.88,0,20,0.356,14,0.383,17,17
273,10,4,4,14,3519,4,4,0,1,0,0,0,0,37535,794284,0,1.00767410734108,1.00767410734108,14,1,4,1,0.129,0.871,0.032,0.444,0.556,0,14,1,4,1,4,4
303,4,4,21,15,951,11,21,1,0,0,0,1,0,41552,794284,0,0.929884391371791,0.910258173350203,15,0.979,11,0.979,0.63,0.37,0.074,0.05,0.95,0,15,0.926,11,0.926,21,21
320,4,4,20,16,2002,12,20,0,1,1,0,1,0,41404,794284,0,0.894563695727339,0.913511922013516,16,0.979,8,0.979,0.212,0.788,0.152,0.261,0.739,0,16,0.929,8,0.929,20,20
356,9,4,18,21,2711,21,18,0,1,0,0,1,0,42508,794284,0,0.889786572387494,0.889786572387494,21,1,21,1,0,1,0.037,0.133,0.867,0,21,1,21,1,18,18
381,6,4,2,18,2426,2,2,0,1,1,0,1,0,37178,794284,0,1.01735025066027,1.01735025066027,18,1,2,1,0.077,0.923,0.179,0.333,0.667,0,18,1,2,1,2,2
448,9,4,19,13,3785,20,19,0,1,1,0,1,0,42764,794284,0,0.884460004186877,0.884460004186877,13,1,20,1,0.581,0.42,0.097,0.125,0.875,0,13,1,20,1,19,19
